"category_id","asin","Predicted","category_name"
165,"B07K7GXCSY",1,"Home Décor Products"
165,"B06X9H3B9V",1,"Home Décor Products"
165,"B089T5ZCLS",1,"Home Décor Products"
165,"B08X6DVF2V",1,"Home Décor Products"
165,"B0B1DKMG7W",1,"Home Décor Products"
165,"B07VNQ63T6",1,"Home Décor Products"
165,"B01H84H13O",1,"Home Décor Products"
165,"B07RQS6FMZ",1,"Home Décor Products"
165,"B07C3CGZP5",1,"Home Décor Products"
165,"B09NCC8L3Q",1,"Home Décor Products"
165,"B07M5DJ619",1,"Home Décor Products"
165,"B001D1IY30",1,"Home Décor Products"
165,"B000FDZJBM",1,"Home Décor Products"
165,"B00LNI5PMG",1,"Home Décor Products"
165,"B016SBCZMA",1,"Home Décor Products"
165,"B07FXLT2RJ",1,"Home Décor Products"
165,"B0BRPT4CZV",1,"Home Décor Products"
165,"B09MVZTNLN",1,"Home Décor Products"
165,"B09PH24XMX",1,"Home Décor Products"
165,"B07VX82SNM",1,"Home Décor Products"
165,"B07NW8ZM3M",1,"Home Décor Products"
165,"B0792DY1F1",1,"Home Décor Products"
165,"B08RCS5X3S",1,"Home Décor Products"
165,"B085VZPFKB",1,"Home Décor Products"
165,"B0BZ89RCPN",1,"Home Décor Products"
165,"B09CP7MS32",1,"Home Décor Products"
165,"B08N6FRJHN",1,"Home Décor Products"
165,"B001B7MLRG",1,"Home Décor Products"
165,"B085ZKC9PC",1,"Home Décor Products"
165,"B0B4YWCZ9Z",1,"Home Décor Products"
165,"B07KKCDQQL",1,"Home Décor Products"
165,"B019FAXVW4",1,"Home Décor Products"
167,"B082N15K8V",1,"Household Cleaning Supplies"
167,"B0BB7KTV7R",1,"Household Cleaning Supplies"
167,"B000VBB8SG",1,"Household Cleaning Supplies"
167,"B00E9V4P02",1,"Household Cleaning Supplies"
167,"B07S3DFQ5W",1,"Household Cleaning Supplies"
167,"B009S2D0L2",1,"Household Cleaning Supplies"
167,"B0BLMGWYWQ",1,"Household Cleaning Supplies"
167,"B0BF4DFVL9",1,"Household Cleaning Supplies"
167,"B0B8XQCX3Z",1,"Household Cleaning Supplies"
167,"B08ZLRFFB7",1,"Household Cleaning Supplies"
167,"B09W9BPFXN",1,"Household Cleaning Supplies"
167,"B07D7YDXB8",1,"Household Cleaning Supplies"
167,"B000NGQR4E",1,"Household Cleaning Supplies"
167,"B0BR3S7HNH",1,"Household Cleaning Supplies"
167,"B00623JXIO",1,"Household Cleaning Supplies"
167,"B09PDHLLM8",1,"Household Cleaning Supplies"
167,"B082H68HPK",1,"Household Cleaning Supplies"
167,"B0B16SS82L",1,"Household Cleaning Supplies"
167,"B0822229RR",1,"Household Cleaning Supplies"
167,"B0875K5JK1",1,"Household Cleaning Supplies"
167,"B0BVNTZM9H",1,"Household Cleaning Supplies"
